리뷰 내용,추천 여부,리뷰 날짜,플레이 시간(분)
"지루한 텍스트 게임이 싫다면 추천
내가 발컨인거 숨기고 살고 싶다하면 비추
패턴을 분석하고 죽는걸 두려워하지 않는다면 추천
캐릭터가 뒤지면 본인도 뒤져야한다면 비추",추천,1730525771,19209
개추,추천,1730448436,6321
아 재밌네,추천,1730385558,13182
만족합니다. 개연성도 괜찮고 게임완성도도 좋아요,추천,1730344344,17238
"플레이타임도 널널하고 타격감도있고 패링도 맛있었음 난이도도 할수록 쉬워지는느낌이고
트리가드도 처음엔 ㅈㄴ 힘들었었는데 나중가고 다시도전해보면 또 되게 쉬운놈이구나 하고 근데 엇박은 ㅈ같긴함

근데 npc 한번 죽였다고 특정 맵을 못가는게 좀 ㅈ같음
바레 초반에 죽여서 돈먹고 트리가드 잡을려했는데 나중가서 보니까얘가 룬작하는곳 맵을 열어주는 npc여서 후회했음
속죄 하면 살아난다길래 속죄했더니 안살아나는놈들도 있고 npc인지 적인지 햇갈려하는놈들도 여럿있고
중요 npc들은 못죽이게해야하는게 맞지않나싶음 스토리에 포함되있는얘들도 죽일수가 있으니 게임에 영향이 좀 많이감

그리고 고사양 게임인지 사양을 낮추고하고해도 끊기는경우도 많고 사양을 낮추니 주변퀄이 낮아진게 보이는게 있어서 몰입이 어느정도 깨지는것도 있음 최적화도 조금더 해줬으면 좋았을꺼같음",비추천,1730314380,2347
유효,추천,1730293251,967
"플스로 이미 즐길 만큼 즐겼던 게임인데,
스팀덱으로 즐기려고 구매했습니다.
휴대용기기로 다시 한번 즐기니, 시간 가는지 모르고 즐겼습니다.
역시 명작은 명작입니다 ^^",추천,1730291499,4881
어서 미친 불 마을에 오세요!!,추천,1730287348,7257
이거지,추천,1730283114,18596
"병1신 게임


저는 마음에 들었습니다",추천,1730267033,4431
고통받기를 좋아한다면 해보세요,추천,1730260815,2652
"소울류는 거의 처음이라 대충 있는 대로 집안살림 다 던져가면서 깨고 있었는데

인정협회 출신 친구의 권유로 말리케스부터 노영체 트라이 시작하고서야
지금까지 하던 건 엘든링의 스토리 모드이자 ㅇ 정도였다는 걸 깨달았음
하도 머리 박아서 뇌수가 흐르고 차라리 죽고 싶었던 적이 있지만
그만큼 보스 깼을 때의 도파민이 남다름

다른 소울류에 비해 길찾기가 순한 편 + 유저가 어느정도 난이도 조절 할 수 있는 요소들이 많아서
소울류에 관심 있는 뉴비가 있다면 엘든링을 추천함",추천,1730258067,4829
프롬게임 입문작 추천,추천,1730199765,6107
.,추천,1730195579,4582
꿀잼!,추천,1730136657,9202
"넓고 광활하면서도 텅 비어있고 불친절한 멥, 복붙으로 가득한 던전과 성의없고 공략 없이 불가능한 수준의 좆소식 퀘스트, 억지 엇박을 넣은 불쾌한 수준의 보스전, 좆소식 프레임드랍. 이걸 왜해요?",추천,1730124257,9067
"엘든링이 완벽한 게임인가? 그걸 생각해보면 당연히 고개를 저을 것이다. 하지만 게임게에서 기억될 게임인가?
그 부분애선 이견이 없다. 나에겐 정말 새로운 지평선을 보여준 게임이다. 직관적이지 않은 스토리, 초심자에게 있어 높은 난이도는
분명 의견이 많이 갈릴 요소이지만 그런 요소조차 사랑하는 나를 발견할 수 있다.
미야자키 개새끼야 만수무강해라",추천,1730123104,6254
"재미 3/5
 - 취향이 맞아야 재미가 있지... 트라이 끝에 비벼서 깰때 성취감이 재미의 포인트

그래픽 3/5
 - 예상보다 좋진 않다. 디자인이 웅장하긴하다.

스토리 1/5
 - 유튜브 해석 보기 전에는 도무지 무슨 말인지 알수가 없으다.",추천,1730118168,6251
멀기트 시발년아,추천,1730116204,852
존잼,추천,1730082453,3487
미야자키 이년 다크소울도 그렇고 엘든링 dlc도 보면 게이커플에 진심인걸 느낄수 있음 소름임,추천,1730066647,13426
이거거든,추천,1730049461,13441
"어느덧 제일 오래한게임이 되어버린 엘든링. 캐릭터에도 정들어서 2회차하고 접던거 9회차 막바지까지 키웠다.
DLC 맵 활용도, 밸런스로  욕먹고 그래도 나한텐 레데리2이후 최고의 게임임.",추천,1730040509,51777
good,추천,1730036702,5924
좀 더 일찍 시작할걸 괜히 쫄아가지고 ㅎㅎ,추천,1730034357,2119
미야자키 사랑해,추천,1730025956,28663
"정말 재밌게 했다.
소울라이크 입문작으로들 많이 추천하는데 그에 동감한다.
나는 입문작은 다른 게임으로 했지만 엘든링으로 입문 했으면 더욱 빨리 소울라이크에 흥미 생겼을거라 생각한다.
도전과제 완료하느라 3회차까지 클리어했다.
2,3회차도 정말 재밌게 했다.
좀 늦게 접해서 PVP는 거의 즐기지 않았지만 엘든링2가 나오면 바로 플레이하고 PVP도 열심히 해보고 싶다.",추천,1730024366,13453
인생겜,추천,1730021994,7720
그저 갓겜,추천,1730019510,6570
갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓갓 겜,추천,1730010814,6635
"소울 본고장답게 이분야 알파오메가고 소울 좋아하면 과하게 재밌어서 다른작 먼저하는게 좋음

dlc에 안 풀린 떡밥이랑 인물 많은게 아쉬움 미공개 엔딩 하나 풀렸으면 좋았을듯


",추천,1730008696,31108
"다들 메시지 보는것에 주의하라! 내 마지막 축복... 
무너지는 마리카 못찍어서 2차간다 .. 후 시발",추천,1730008090,15008
엘든링 어렵게 생각하지마라 이거 노가다링 꼼수링이다. 갱장히 쉽다.,추천,1729998091,8849
"0.5시간 플레이해놓고 평가 작성하노 ㅋㅋ <<<< 미안하다 다른 스팀계정에서 남의꺼 가족공유로 해서 100시간은 좀 넘게 했다...
그래놓고 스팀 부계정으로 사서 리뷰쓰고 있다.....

아무튼 재밌음
다만 할거면, 꼭 끝까지 깨서 엔딩 보고 정 모르겠으면 공략 봐서라도 게임은 어떻게든 엔딩까지 꼭! 봐놓으셈.
나처럼 귀찮아서 혹은 까먹어서 오랫동안 안하다가 다시 키게되면,,어디까지 했는지 뇌리셋되버려서
다시 새로운 세이브 만들고 겜하다가.. 악순환되더라...
차라리 한번 켠왕하고 그 후에 새겜을 다시하든 기존계정으로 할수있는 컨텐츠를 더 즐기든 하는게 맞다.....",추천,1729974266,31
시발련아 피했다고,추천,1729971616,14979
엘든링오오엘든링,추천,1729962821,2162
스트레스 풀려고 게임하는 사람은 하지마셈,추천,1729953178,1652
최고입니다,추천,1729940676,8966
처음부터 너무 어려워서 감사했습나.,추천,1729935613,4901
구르기 후 뒤지기,추천,1729929265,437
"사실상 첫 프롬 입문 게임
DLC와 옵셔널 보스 몇 개는 아직 플레이 전이지만 메인 스토리는 모두 완료한 상태

스토리 컨텍스트를 이해하지 못하면 몰입하기 힘들어하는 타입이지만
전투 자체의 재미, 참험의 재미, 무기 및 장비 세팅의 재미 등으로 충분히 재밌게 플레이했다.
게임에서 내가 제일 강해야 속이 시원한 플레이어들에게도 충분히 어필 가능하게 디자인되어 있다

프롬의 마니악한 게임성과 그에 걸맞는 유저 풀을 가지고 있다고 생각했지만
나조차도 재밌게 했으니 확실히 엘든링으로 다른 성향의 게이머들에게도 큰 인기를 누릴만한 작품을 만들었다고 생각했다
앞서 포기했던 프롬의 다른 게임들도 도전하고 싶어졌다",추천,1729925477,11431
a,추천,1729909441,22892
"아아.. 말레니아...

현란한 검술에... 꽃봉우리를 보고서

왜 이제야 깨달았단 말인가

머나먼 서역땅에서 이어진 너의 의지는 잘 이어받았다.

말레니아... 너를 대 화산의 검수로 인정한다.",추천,1729908983,11941
부조리하고 좋다,추천,1729872812,9454
"이 너머 길치 있다
이 앞 낙사 유효하다
오오 길 잃은 자 오오

그러니까 메세지 만세!!

",추천,1729869365,7760
ㅈㄴ 재밌다..,추천,1729858619,9371
소울류 게임 처음이면 공략 보고 하는 걸 추천,추천,1729856804,4637
소울류 에선 꼭해봐야하는 상품임./,추천,1729855149,10457
재미있습니다. 맵 겁나 큼...,추천,1729824694,2469
90/100,추천,1729764041,9744
아직 많이 안해봤지만 재밌는 것 같아요. 더 해볼 생각입니다.,추천,1729752185,7253
좆망겜 왜 하노 ㅅㅂ,비추천,1729728559,19837
멀키트 드디어 잡았다,추천,1729699049,20343
인생게임 굿굿,추천,1729678719,4534
.,추천,1729678602,7507
"개꿀잼
",추천,1729675474,5261
이제뭐하지,추천,1729667817,62094
아,추천,1729613982,6982
👍👍👍,추천,1729597369,9386
아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...아이엠말레이나....블레이드오브미켈라...,추천,1729596828,4470
짜증나고 잼있음,추천,1729596356,11579
날먹좋아,추천,1729580063,5759
"엘든링 출시 1년 뒤쯤 샀다가 30프레임의 장벽을 못이기고 게임 플레이 1시간만에 끄고 유기해버렸는데
이번에 60프레임 된다는 얘기를 듣고 호다닥와서 졸라 재밌게 하는중",추천,1729574185,6328
역시 진짜 사람들이 왜 하는지 알수 있는 게임이였습니다.,추천,1729525785,4784
really great game.,추천,1729511875,9090
걍 재밌음 이유는 차고 넘치지,추천,1729473218,18922
"살면서 평가를 남겨본 적이 없지만 이 게임은 내 인생의 최고라고 자부할 수 있기에 평가를 남긴다. 만약 이 게임이 궁금하거나 해보고 싶다고 느껴진다면 그 즉시 사서 플레이 해보기를 바란다. 게임의 그래픽은 화려하다 못해 뇌가받아들이지 못 할 정도이고 보스의 난이도는 어렵지만 패턴을 파악하면 잡을만하고 공격들이 화려해 보는 맛이 충분하다, 오픈월드 장르이기에 길치들은 돌아다니는 데에 시간을 많이 허비하게 되겠지만 그 돌아다니는 것 만으로도 너무나 재미있다, 그리고 게임 내에 있는 무기의 종류도 말도 안되게 많아서 하나하나 얻고 써보는 재미가 쏠쏠하다. 본편은 엔딩을 보는 데에 내실이 필수는 아니여서 내실을 다지는게 귀찮은 플레이어들도 충분히 즐길 수 있다. 그리고 말 많은 DLC 역시도 난이도는 괴팍하지만 계속 플레이하다 보면 금새 빠져들어 즐기게 될 것이고 좌절하는 것 또한 이런 게임 장르의 맛이니 한 번 느껴보길 바란다, 다만 DLC는 본편과 다르게 내실이 반강제 적으로 필요하다는게 몇 없는 아쉬운 점이다. 그리고 자신이 만약 게임을 플레이하거나 애니메이션을 시청할 때 세계관 설정을 찾아서 보는 것을 좋아한다면 꼭 한 번 보는 걸 추천한다, 세계관의 설정 또한 가히 완벽하고 다 시청하고 나면 게임의 몰입도가 배가 되기 때문에 훨씬 재미있게 게임을 플레이 할 수 있다. 나는 앞으로 살면서 이 게임보다 완벽한 게임은 찾을 수 없을 것 같다.",추천,1729448020,34503
아 진짜 제발 한입만 먹어봐.,추천,1729446232,10380
인생 게임 입니다 이 게임 반값 세일은 개뿔이고 뭐한 10% 세일 할때 사는것도 충분히 좋을정도로 명작이니까 한번쯤은 해보세요,추천,1729444036,3477
"오오, 그럴 자격 없다.",추천,1729436252,9970
"존나 재미있다.














회피 씨발련아",추천,1729429348,2867
이 게임을 시작한후 인생이 꼬이기 시작했다,비추천,1729428359,64018
"멋있고 웅장하고 장엄하며 만족스러운 게임
이 앞에 구르기 있으라!",추천,1729421154,9196
말해뭐해 그냥 고트,추천,1729412289,692
이 게임은 그냥 버릇이 되었다. 무의식으로 켜서 무지성으로 잡았던 보스를 또 잡으러 가는 나를 발견할 수 있음.,추천,1729399065,12667
.,추천,1729364851,30585
